Season,Player_ID,Player_Name,Position,Team,Conference,Usage_Overall,Team_Total_Usage,Player_Usage_Share,Rank_Within_Team,Top_Player_Flag,Top_3_Flag,Top_Player_Share,Top_3_Share,Distinct_Season_Count
2021,4361777,Zamir White,RB,Georgia,SEC,0.180,2.060,8.7%,3,0,1,18.7%,41.6%,1.00
2021,4361778,Kearis Jackson,WR,Georgia,SEC,0.032,2.060,1.6%,16,0,0,18.7%,41.6%,2.00
2021,4361825,Spencer Sanders,QB,Oklahoma State,Big 12,0.541,2.221,24.4%,1,1,1,24.4%,53.8%,3.00
2021,4361936,Anthony Queeley,WR,Syracuse,ACC,0.044,1.837,2.4%,10,0,0,28.3%,67.8%,2.00
2021,4361940,Ethan Fischler,WR,Syracuse,ACC,0.019,1.837,1.0%,13,0,0,28.3%,67.8%,1.00
2021,4361943,Cooper Lutz,RB,Syracuse,ACC,0.056,1.837,3.0%,6,0,0,28.3%,67.8%,2.00
2021,4361945,Jarveon Howard,RB,Syracuse,ACC,0.048,1.837,2.6%,9,0,0,28.3%,67.8%,1.00
2021,4361952,Taj Harris,WR,Syracuse,ACC,0.115,1.837,6.3%,4,0,0,28.3%,67.8%,2.00
2021,4361960,Tre Turner,WR,Virginia Tech,ACC,0.088,1.922,4.6%,9,0,0,24.9%,46.3%,1.00
2021,4361973,Kaleb Smith,WR,Virginia Tech,ACC,0.040,1.922,2.1%,11,0,0,24.9%,46.3%,2.00
2021,4361988,James Mitchell,TE,Virginia Tech,ACC,0.031,1.922,1.6%,13,0,0,24.9%,46.3%,1.00
2021,4361994,Sam Hartman,QB,Wake Forest,ACC,0.578,1.730,33.4%,1,1,1,33.4%,49.7%,2.00
2021,4362018,Blake Whiteheart,TE,Wake Forest,ACC,0.022,1.730,1.3%,16,0,0,33.4%,49.7%,2.00
2021,4362019,A.T. Perry,WR,Wake Forest,ACC,0.110,1.730,6.4%,5,0,0,33.4%,49.7%,2.00
2021,4362073,Casey Thompson,QB,Texas,Big 12,0.390,1.764,22.1%,1,1,1,22.1%,53.9%,2.00
2021,4362075,Cameron Rising,QB,Utah,Pac-12,0.441,1.764,25.0%,2,0,1,25.4%,64.0%,2.00
2021,4362079,Joshua Moore,WR,Texas,Big 12,0.064,1.764,3.6%,10,0,0,22.1%,53.9%,1.00
2021,4362087,Keaontay Ingram,RB,USC,Pac-12,0.230,2.071,11.1%,3,0,1,22.8%,56.1%,1.00
2021,4362110,Malcolm Epps,TE,USC,Pac-12,0.027,2.071,1.3%,13,0,0,22.8%,56.1%,3.00
2021,4362159,Alan Bowman,QB,Michigan,Big Ten,0.034,1.737,2.0%,16,0,0,21.6%,51.1%,3.00
2021,4362162,SaRodorick Thompson,RB,Texas Tech,Big 12,0.164,2.395,6.8%,5,0,0,18.6%,48.7%,2.00
2021,4362186,Erik Ezukanma,WR,Texas Tech,Big 12,0.109,2.395,4.6%,6,0,0,18.6%,48.7%,1.00
2021,4362193,T.J. Banks,TE,West Virginia,Big 12,0.028,1.494,1.9%,13,0,0,35.4%,63.5%,1.00
2021,4362196,Leddie Brown,RB,West Virginia,Big 12,0.302,1.494,20.2%,2,0,1,35.4%,63.5%,1.00
2021,4362208,Sam James,WR,West Virginia,Big 12,0.053,1.494,3.5%,7,0,0,35.4%,63.5%,2.00
2021,4362217,Mike O'Laughlin,TE,West Virginia,Big 12,0.047,1.494,3.1%,9,0,0,35.4%,63.5%,3.00
2021,4362238,Chase Brown,RB,Illinois,Big Ten,0.301,2.154,14.0%,3,0,1,21.5%,52.6%,2.00
2021,4362249,Jayden Reed,WR,Michigan State,Big Ten,0.110,1.697,6.5%,3,0,1,31.3%,64.6%,2.00
2021,4362400,Rahsaan Lewis,WR,Kentucky,SEC,0.015,1.563,1.0%,16,0,0,33.9%,57.2%,2.00
2021,4362430,Taye Barber,WR,TCU,Big 12,0.057,2.366,2.4%,11,0,0,22.1%,50.9%,2.00
2021,4362477,Derius Davis,WR,TCU,Big 12,0.069,2.366,2.9%,10,0,0,22.1%,50.9%,2.00
2021,4362478,Emari Demercado,RB,TCU,Big 12,0.181,2.366,7.7%,4,0,0,22.1%,50.9%,2.00
2021,4362496,Lorenzo Lingard,RB,Florida,SEC,0.043,1.753,2.5%,13,0,0,30.2%,51.3%,2.00
2021,4362503,Dee Wiggins,WR,Miami,ACC,0.032,2.788,1.1%,18,0,0,26.4%,55.1%,3.00
2021,4362509,Cam'Ron Harris,RB,Miami,ACC,0.189,2.788,6.8%,5,0,0,26.4%,55.1%,1.00
2021,4362523,Will Mallory,TE,Miami,ACC,0.050,2.788,1.8%,11,0,0,26.4%,55.1%,2.00
2021,4362603,Brenden Bates,TE,Kentucky,SEC,0.023,1.563,1.5%,14,0,0,33.9%,57.2%,3.00
2021,4362614,Tyler Markray,RB,Kentucky,SEC,0.028,1.563,1.8%,13,0,0,33.9%,57.2%,1.00
2021,4362619,Chris Rodriguez Jr.,RB,Kentucky,SEC,0.193,1.563,12.3%,2,0,1,33.9%,57.2%,2.00
