Season,Id,Name,Position,Team,Conference,Usage Overall,Usage Pass,Usage Rush,Usage FirstDown,Usage SecondDown,Usage ThirdDown,Usage StandardDowns,Usage PassingDowns
2021,4035847,Melquise Stovall,WR,Pittsburgh,ACC,0.03,0.053,0.004,0.029,0.033,0.034,0.024,0.044
2021,4035851,Demetris Robertson,WR,Auburn,SEC,0.078,0.137,0.013,0.095,0.056,0.073,0.074,0.085
2021,4035854,Collin Moore,TE,California,PAC,0.018,0.038,0,0.008,0.036,0.018,0.025,0
2021,4035912,Kwamie Lassiter II,WR,Kansas,B12,0.111,0.253,0.005,0.103,0.12,0.123,0.096,0.144
2021,4035995,Jawon Pass,QB,Prairie View A&M,,0.127,0.375,0.026,0.053,0.176,0.125,0.111,0.143
2021,4036016,Tobias Little,TE,Missouri State,,0.146,0.04,0.313,0.171,0.148,0.111,0.204,0.036
2021,4036032,Brittain Brown,RB,UCLA,PAC,0.169,0.06,0.249,0.19,0.215,0.07,0.189,0.121
2021,4036164,Dylan Parham,TE,NC State,ACC,0.016,0.03,0,0.008,0.037,0,0.017,0.013
2021,4036168,C.J. Riley,WR,NC State,ACC,0.037,0.065,0,0.027,0.031,0.073,0.032,0.048
2021,4036215,Max Bortenschlager,QB,Florida International,CUSA,0.526,0.923,0.037,0.407,0.521,0.769,0.425,0.725
2021,4036222,LaDerrien Wilson,RB,Bethune-Cookman,,0.125,0,0.286,0.143,0,0.25,0.154,0
2021,4036260,Kareem Walker,RB,South Alabama,SBC,0.134,0.033,0.268,0.152,0.115,0.146,0.158,0.094
2021,4036262,Brandon Peters,QB,Illinois,B1G,0.369,0.796,0.072,0.287,0.331,0.584,0.288,0.515
2021,4036281,Devon Benn,RB,Southern,,0.245,0.05,0.423,0.273,0.313,0.091,0.258,0.222
2021,4036418,Corey Xavier Sutton,WR,App State,SBC,0.091,0.207,0.002,0.081,0.106,0.094,0.083,0.109
2021,4036419,Skylar John Thompson,QB,Kansas State,B12,0.476,0.91,0.095,0.381,0.482,0.647,0.39,0.653
2021,4036427,Jacob Huesman,QB,App State,SBC,0.066,0.134,0.014,0.042,0.08,0.072,0.057,0.09
2021,4036436,Marcus Williams Jr.,RB,Louisiana Tech,CUSA,0.228,0.049,0.431,0.257,0.279,0.1,0.25,0.176
2021,4036448,Jalen Virgil,WR,App State,SBC,0.035,0.072,0.005,0.049,0.019,0.038,0.037,0.029
2021,4036473,Logan Bonner,QB,Utah State,MWC,0.454,0.833,0.087,0.376,0.453,0.622,0.388,0.586
2021,4036475,Brandon Bowling,WR,Utah State,MWC,0.064,0.129,0,0.039,0.079,0.099,0.051,0.092
2021,4036650,Shai Werts,WR,Louisville,ACC,0.032,0.059,0.014,0.017,0.051,0.045,0.023,0.054
2021,4036788,Jaxson Kincaide,RB,Western Michigan,MAC,0.092,0.01,0.15,0.114,0.107,0.028,0.107,0.049
2021,4037217,Brandon Chapman,TE,Wake Forest,ACC,0.021,0.041,0,0,0.021,0.055,0.013,0.037
2021,4037293,Lucas Johnson,QB,San Diego State,MWC,0.337,0.708,0.076,0.309,0.333,0.411,0.297,0.421
2021,4037377,CJ Windham,WR,Middle Tennessee,CUSA,0.065,0.124,0,0.06,0.054,0.089,0.063,0.069
2021,4037378,Reginald Henderson,WR,Chattanooga,,0.246,0.441,0,0.259,0.158,0.333,0.222,0.313
2021,4037405,Isaiah Totten,RB,North Carolina Central,,0.037,0.033,0.045,0.048,0.05,0,0.027,0.059
2021,4037433,Jake Herslow,WR,Houston,AAC,0.042,0.084,0,0.021,0.051,0.082,0.026,0.078
2021,4037456,Jovani Haskins,TE,Rutgers,B1G,0.028,0.053,0,0.031,0.015,0.046,0.027,0.029
2021,4037514,Rontavius Groves,WR,Texas State,SBC,0.013,0.031,0,0,0,0,0.019,0
2021,4037532,Garrett Walston,TE,North Carolina,ACC,0.037,0.078,0,0.032,0.053,0.029,0.03,0.053
2021,4037564,Jahcour Pearson,WR,Ole Miss,SEC,0.05,0.107,0.007,0.053,0.046,0.053,0.046,0.06
2021,4037568,Gaej Walker,RB,Western Illinois,,0.106,0.068,0.19,0.179,0.043,0.077,0.106,0.105
2021,4037575,Cole Blackman,WR,William & Mary,,0.038,0.118,0,0,0.063,0.071,0.03,0.05
2021,4037631,Abdul Adams,RB,Syracuse,ACC,0.05,0.025,0.065,0.055,0.048,0.05,0.046,0.061
2021,4037642,Austin Kendall,QB,Louisiana Tech,CUSA,0.583,0.896,0.186,0.498,0.569,0.792,0.496,0.781
2021,4038438,La'Darren Brown,RB,Oklahoma State,B12,0.125,0.052,0.189,0.144,0.133,0.081,0.132,0.114
