Season,Team,Conference,Points_for,Points_against
2022,Utah,Pac-12,34,13
2022,Stanford,Pac-12,22,40
2022,South Carolina State,MEAC,10,50
2022,Chowan,CIAA,10,13
2022,Utah State,Mountain West,26,38
2022,Tulane,American Athletic,27,24
2022,Western Connecticut St,MSCAC,21,48
2022,UTSA,Conference USA,45,30
2022,San Diego State,Mountain West,13,35
2022,Washington,Pac-12,32,40
2022,Pennsylvania,Ivy,23,17
2022,New Mexico,Mountain West,20,31
2022,Seton Hill,Pennsylvania State Athletic,10,21
2022,Georgia State,Sun Belt,31,14
2022,Catholic,NEWMAC,42,7
2022,University Of Charleston (WV),Mountain East,24,49
2022,Michigan Tech,GLIAC,38,52
2022,Ferris State,GLIAC,38,7
2022,Albright,Mid Atlantic,0,27
2022,Post University,Independent DII,6,45
2022,Illinois,Big Ten,34,10
2022,Virginia University Of Lynchburg,,10,44
2022,Kentucky,SEC,19,22
2022,St. Thomas (MN),Pioneer,38,24
2022,Wheeling,Mountain East,37,0
2022,Monmouth,CAA,35,7
2022,Howard,MEAC,26,34
2022,Louisville,ACC,33,34
2022,Duquesne,NEC,20,24
2022,Texas Tech,Big 12,28,37
2022,Assumption,Northeast 10,28,14
2022,North Carolina Central,MEAC,18,48
2022,Western New England,Commonwealth Coast,47,14
2022,Michigan,Big Ten,27,14
2022,Juniata College,Centennial,7,51
2022,Husson,Commonwealth Coast,0,20
2022,Delaware Valley,Mid Atlantic,26,7
2022,Temple,American Athletic,3,24
2022,Plymouth State,MSCAC,14,9
2022,Lagrange College,USA South,22,37
2022,Westfield State,MSCAC,9,20
2022,Oklahoma,Big 12,24,55
2022,Central Connecticut,NEC,13,39
2022,Purdue,Big Ten,20,10
2022,Navy,American Athletic,10,13
2022,Gallaudet,ECFC,52,44
2022,Limestone,South Atlantic,17,14
2022,William Paterson,New Jersey,22,15
2022,Guilford College,Old Dominion,19,48
2022,Coast Guard,NEWMAC,23,31
2022,Ferrum,Old Dominion,0,20
2022,Minnesota Morris,Upper Midwest,28,8
2022,Martin Luther,Upper Midwest,27,30
2022,Northwestern (MN),Upper Midwest,30,0
2022,Beloit,Midwest,20,28
2022,Ripon,Midwest,23,21
2022,Ithaca College,Liberty League,31,7
2022,Buffalo State,Liberty League,0,45
2022,Alma,Michigan,40,21
2022,Albion,Michigan,48,6
2022,Curry College,Commonwealth Coast,21,37
2022,FDU-Florham,Mid Atlantic,28,14
2022,Butler,Pioneer,0,31
2022,Trinity University TX,Southern Athletic,28,7
2022,Central College,American Rivers,58,0
2022,Luther,American Rivers,33,23
2022,Middlebury,NESCAC,20,10
2022,Missouri State,MVFC,31,48
2022,Georgetown,Patriot,38,59
2022,Wabash College,North Coast,42,35
2022,Holy Cross,Patriot,30,21
2022,Ohio Wesleyan,North Coast,35,7
2022,Trinity (CT),NESCAC,20,3
2022,Dickinson (PA),Centennial,13,21
2022,Frostburg State,Mountain East,9,10
2022,Bentley,Northeast 10,41,0
2022,Dubuque,American Rivers,46,16
2022,Newberry,South Atlantic,14,24
2022,Presbyterian,Pioneer,10,14
2022,Kings College (PA),Mid Atlantic,28,23
2022,Rowan,New Jersey,14,20
2022,Hiram College,North Coast,34,7
2022,Hartwick,Empire 8,7,57
2022,Rensselaer,Liberty League,31,3
2022,Huntingdon College (AL),USA South,42,28
2022,Wesleyan University (CT),NESCAC,49,14
2022,Shepherd,Pennsylvania State Athletic,30,13
2022,Montclair State,New Jersey,7,30
2022,Gettysburg,Centennial,17,56
2022,Fairmont State,Mountain East,10,9
2022,Minnesota State Moorhead,Northern Sun,28,36
2022,Millersville,Pennsylvania State Athletic,42,12
2022,St. Augustine's,CIAA,0,69
2022,Elizabeth City State,CIAA,14,49
2022,Apprentice School,Independent DIII,19,22
2022,Walsh,Great Midwest Athletic,0,21
2022,Princeton,Ivy,24,6
2022,West Liberty,Mountain East,14,35
2022,Catawba,South Atlantic,23,38
2022,Norfolk State,MEAC,14,31
2022,Cornell,Ivy,34,31
2022,Villanova,CAA,45,20
2022,Drake,Pioneer,14,27
2022,Long Island University,NEC,23,24
2022,Minnesota State Mankato,Northern Sun,25,15
2022,Belhaven,USA South,34,27
2022,Johns Hopkins University,Centennial,43,26
2022,Loras College,American Rivers,3,42
2022,SUNY Morrisville,Empire 8,7,28
2022,Kutztown University,Pennsylvania State Athletic,24,20
2022,Lincoln (PA),CIAA,0,0
2022,Texas State,Sun Belt,13,40
2022,Mercer,Southern,42,7
2022,University of Mount Union,Ohio,45,0
2022,John Carroll University,Ohio,59,0
2022,Lebanon Valley,Mid Atlantic,32,6
2022,Ursinus,Centennial,12,17
2022,Franklin,Heartland,37,27
2022,Pacific Lutheran,Northwest,13,12
2022,Mount St. Joseph,Heartland,55,20
2022,Alfred State,ECFC,30,25
2022,Muskingum University,Ohio,21,42
2022,Tufts,NESCAC,35,28
2022,Rose-Hulman,Heartland,45,7
2022,Hanover College,Heartland,37,20
2022,Edinboro University,Pennsylvania State Athletic,16,13
2022,Oregon State,Pac-12,16,42
2022,Wisconsin-Stevens Pt,Wisconsin,3,56
2022,McKendree,Great Lakes,45,34
2022,Concordia Moorhead,Minnesota,28,35
2022,Eureka College,NACC,27,13
2022,Wisconsin-Lutheran,NACC,17,62
2022,Allegheny,Presidents',14,66
2022,Capital,Ohio,28,35
2022,Hampden-Sydney,Old Dominion,17,27
2022,Case Western Reserve,Presidents',13,14
2022,Millsaps,Southern Athletic,30,27
2022,Hamline University,Minnesota,42,43
2022,Wingate,South Atlantic,31,7
2022,Northern Illinois,Mid-American,38,44
2022,Greensboro College,USA South,13,31
2022,Slippery Rock,Pennsylvania State Athletic,12,20
2022,Benedict College,SIAC,45,13
2022,Miles College,SIAC,3,20
2022,Bemidji State,Northern Sun,59,14
2022,Livingstone,CIAA,7,53
2022,Wayne State (NE),Northern Sun,14,38
2022,PennWest California,Pennsylvania State Athletic,59,14
2022,Northeastern State,Mid America,13,35
2022,Concordia-Wisconsin,NACC,42,21
2022,Howard Payne,American Southwest,56,42
2022,Macalester,Minnesota,27,56
2022,Youngstown State,MVFC,14,27
2022,Washington University (St. Louis),CCIW,56,21
2022,Wisconsin-Platteville,Wisconsin,7,46
2022,Carthage,CCIW,57,21
2022,Millikin,CCIW,24,38
2022,Richmond,CAA,27,30
2022,Massachusetts,FBS Independents,13,20
2022,Chicago,Midwest,50,14
2022,Bethel (MN),Minnesota,30,27
2022,Lake Forest College,Midwest,41,10
2022,Augsburg,Minnesota,36,41
2022,Centre College Kentucky,Southern Athletic,21,7
2022,Lane College,SIAC,28,27
2022,Wisconsin-Whitewater,Wisconsin,34,31
2022,Kennesaw State,Atlantic Sun,28,35
2022,Sioux Falls,Northern Sun,31,24
2022,Southeast Missouri State,OVC,49,28
2022,Samford,Southern,34,27
2022,Merchant Marine Academy,NEWMAC,41,14
2022,Missouri Western,Mid America,3,16
2022,East Carolina,American Athletic,48,28
2022,Arkansas-Monticello,Great American,27,37
2022,Oklahoma Baptist,Great American,23,38
2022,Southern Nazarene,Great American,35,48
2022,Central Oklahoma,Mid America,45,3
2022,Shorter,Gulf South,14,37
2022,Bethune-Cookman,SWAC,27,35
2022,Averett,Old Dominion,0,31
2022,Southeastern Oklahoma State,Great American,23,31
2022,Ouachita Baptist,Great American,48,7
2022,Colorado School Of Mines,Rocky Mountain,45,9
2022,Missouri Southern State,Mid America,9,38
2022,Lawrence University,Midwest,6,62
2022,Augustana (IL),CCIW,41,44
2022,Austin,American Southwest,7,38
2022,St. Norbert,NACC,26,12
2022,Lenoir-Rhyne,South Atlantic,42,10
2022,New Haven,Northeast 10,21,10
2022,Tennessee Tech,OVC,28,45
2022,Adrian,Michigan,22,10
2022,Western Illinois,MVFC,10,34
2022,Northern State,Northern Sun,26,27
2022,Montana,Big Sky,28,20
2022,Chattanooga,Southern,24,16
2022,Rutgers,Big Ten,10,49
2022,Miami (OH),Mid-American,20,24
2022,Iowa State,Big 12,11,14
2022,Alabama,SEC,49,26
2022,Michigan State,Big Ten,13,27
2022,Wake Forest,ACC,31,21
2022,Oklahoma State,Big 12,36,25
2022,Fresno State,Mountain West,14,19
2022,Stephen F. Austin,Western Athletic,16,17
2022,Towson,CAA,10,24
2022,William & Mary,CAA,27,10
2022,VMI,Southern,17,38
2022,Lafayette,Patriot,24,14
2022,Northwestern,Big Ten,7,17
2022,Virginia Tech,ACC,10,41
2022,The Citadel,Southern,0,49
2022,East Central (OK),Great American,34,22
2022,Central Michigan,Mid-American,17,38
2022,Gardner-Webb,Big South,7,28
2022,Bowling Green,Mid-American,31,28
2022,Ohio,Mid-American,24,31
2022,Fitchburg State,MSCAC,0,82
2022,Lake Erie,Great Midwest Athletic,27,52
2022,Whitworth,Northwest,66,28
2022,Claremont-Mudd-Scripps College,So. Cal.,41,13
2022,Fort Lewis,Rocky Mountain,3,75
2022,Florida Atlantic,Conference USA,28,45
2022,Willamette,Northwest,0,35
2022,Houston Christian,Southland,37,34
2022,Stetson,Pioneer,0,0
2022,Tuskegee,SIAC,45,43
2022,Texas A&M,SEC,24,42
2022,Angelo State,Lone Star,30,7
2022,Puget Sound,Northwest,2,72
2022,Thiel,Presidents',27,26
2022,Nicholls,Southland,33,36
2022,Hardin-Simmons,American Southwest,45,13
2022,Wagner,NEC,0,59
2022,South Alabama,Sun Belt,20,17
2022,Austin Peay,Atlantic Sun,20,49
2022,Emporia State University,Mid America,42,35
2022,Northern Arizona,Big Sky,27,35
2022,Baldwin Wallace,Ohio,33,29
2022,Indiana State,MVFC,14,20
2022,North Greenville,Gulf South,31,34
2022,Dean College,ECFC,0,39
2022,California,Pac-12,9,28
2022,Central State (OH),SIAC,35,32
2022,New Hampshire,CAA,7,44
2022,Southern Utah,Western Athletic,28,35
2022,West Virginia State,Mountain East,30,3
2022,West Chester,Pennsylvania State Athletic,16,21
2022,UTEP,Conference USA,41,35
2022,Brown,Ivy,10,38
2022,Southwest Baptist,Great Lakes,17,44
2022,Northern Michigan,GLIAC,37,30
2022,Mississippi College,Gulf South,39,38
2022,Shaw,CIAA,24,28
2022,St John Fisher University,Empire 8,0,25
2022,Liberty,FBS Independents,38,24
2022,Upper Iowa University,Northern Sun,7,47
2022,Mississippi Valley State,SWAC,7,34
2022,Greeneville,South Atlantic,14,13
2022,Robert Morris,Big South,9,14
2022,Saginaw Valley State,GLIAC,10,29
2022,Cincinnati,American Athletic,31,21
2022,Alabama State,SWAC,16,13
2022,Bryant,Big South,13,24
2022,LSU,SEC,21,17
2022,Prairie View A&M,SWAC,34,14
2022,Wheaton,CCIW,0,33
2022,Depauw,North Coast,17,13
2022,Arkansas-Pine Bluff,SWAC,3,59
2022,Bates,NESCAC,17,38
2022,Wisconsin-Eau Claire,Wisconsin,29,73
2022,Berry College,Southern Athletic,10,24
2022,UL Monroe,Sun Belt,28,45
2022,Murray State,OVC,14,48
2022,McNeese,Southland,20,48
2022,Troy,Sun Belt,34,27
2022,Westminster (PA),Presidents',0,0
2022,Georgia Southern,Sun Belt,30,34
2022,Hillsdale,Great Midwest Athletic,27,31
2022,Valdosta State,Gulf South,31,70
2022,Southwestern University,American Southwest,17,27
2022,Northwood (MI),Great Midwest Athletic,17,56
2022,UAB,Conference USA,24,28
2022,San José State,Mountain West,33,16
2022,Virginia,ACC,17,38
2022,Georgia,SEC,26,22
2022,Indiana,Big Ten,21,35
2022,West Virginia,Big 12,20,38
2022,Southern Illinois,MVFC,19,14
2022,NC State,ACC,20,30
2022,Sacramento State,Big Sky,49,21
2022,Texas Lutheran,American Southwest,45,17
2022,Georgia Tech,ACC,26,21
2022,UT Permian Basin,Lone Star,27,28
2022,Quincy,Great Lakes,24,31
2022,Florida International,Conference USA,21,7
2022,Central Washington,Lone Star,45,17
2022,Black Hills State,Rocky Mountain,24,17
2022,Fort Hays State,Mid America,20,38
2022,Midwestern State,Lone Star,27,30
2022,Western Colorado,Rocky Mountain,42,34
2022,Northern Colorado,Big Sky,35,55
2022,New Mexico Highlands,Rocky Mountain,23,21
2022,Abilene Christian,Western Athletic,26,10
2022,Texas A&M-Kingsville,Lone Star,35,7
2022,Colorado,Pac-12,20,43
2022,California Lutheran University,So. Cal.,45,0
2022,Pomona Pitzer,So. Cal.,31,17
2022,UC Davis,Big Sky,24,41
2022,Arizona State,Pac-12,25,42
2022,Stanford,Pac-12,27,45
2022,Eastern Washington,Big Sky,17,52
2022,Morehouse College,SIAC,20,49
2022,Kentucky State,SIAC,28,13
2022,SMU,American Athletic,19,41
2022,Fairmont State,Mountain East,51,7
2022,UMass Dartmouth,MSCAC,28,14
2022,Northeastern State,Mid America,6,55
2022,Nebraska,Big Ten,14,13
2022,Harvard,Ivy,35,28
2022,Houston,American Athletic,33,32
2022,Colorado State,Mountain West,17,14
2022,UNLV,Mountain West,7,40
2022,Worcester St,MSCAC,0,45
2022,Eastern Michigan,Mid-American,45,23
2022,Dartmouth,Ivy,21,24
2022,Buffalo,Mid-American,38,7
2022,UNC Pembroke,Mountain East,17,16
2022,Wilkes,Mid Atlantic,35,14
2022,Louisville,ACC,34,17
2022,Purdue,Big Ten,31,29
2022,Missouri,SEC,17,24
2022,Tennessee,SEC,40,13
2022,Arkansas,SEC,17,40
2022,Ashland,Great Midwest Athletic,35,0
2022,Glenville State,Mountain East,34,41
2022,Grand Valley State University,GLIAC,45,3
2022,Southern Virginia,USA South,28,38
2022,Castleton,ECFC,17,20
2022,Lycoming,Mid Atlantic,0,21
2022,Hope College,Michigan,10,30
2022,Stevenson,Mid Atlantic,7,20
2022,Widener,Mid Atlantic,17,30
2022,Norwich,NEWMAC,7,19
2022,East Stroudsburg University,Pennsylvania State Athletic,14,20
2022,Fitchburg State,MSCAC,0,47
2022,Concord University,Mountain East,45,28
2022,St. Anselm,Northeast 10,7,38
2022,Indiana-Pennsylvania,Pennsylvania State Athletic,22,21
2022,Lock Haven University,Pennsylvania State Athletic,7,72
2022,Rensselaer,Liberty League,42,14
2022,Ohio Dominican,Great Midwest Athletic,38,7
2022,Gardner-Webb,Big South,48,0
2022,Texas,Big 12,49,0
2022,Valparaiso,Pioneer,41,21
2022,Fordham,Patriot,40,28
2022,TCU,Big 12,38,31
2022,Michigan,Big Ten,31,10
2022,Nichols College,Commonwealth Coast,7,52
2022,Bloomsburg,Pennsylvania State Athletic,0,24
2022,Princeton,Ivy,23,2
2022,Buena Vista,American Rivers,0,65
2022,Anna Maria College,ECFC,41,27
2022,Grove City College,Presidents',55,7
2022,Salve Regina,Commonwealth Coast,20,37
2022,Alfred University,Empire 8,21,6
2022,UAlbany,CAA,31,38
2022,Biddeford,Commonwealth Coast,14,31
2022,Greenville,Upper Midwest,35,41
2022,Delta State,Gulf South,47,14
2022,Dayton,Pioneer,0,31
2022,Norfolk State,MEAC,24,21
2022,Pace,Northeast 10,7,35
2022,Davenport,GLIAC,27,24
2022,Brown,Ivy,27,20
2022,Limestone,South Atlantic,30,51
2022,Shaw,CIAA,18,22
2022,Minot State,Northern Sun,14,36
2022,Wayne State (MI),GLIAC,34,35
2022,Fort Valley State,SIAC,32,17
2022,UVA Wise,South Atlantic,14,34
2022,University of Mary,Northern Sun,14,49
2022,Wagner,NEC,7,28
2022,Chowan,CIAA,16,14
2022,Sewanee,Southern Athletic,16,35
2022,Wofford,Southern,14,28
2022,Southwestern Oklahoma State,Great American,24,63
2022,Bates,NESCAC,27,23
2022,Wartburg,American Rivers,35,28
2022,Worcester Polytechnic Institute,NEWMAC,21,24
2022,Springfield,NEWMAC,49,6
2022,Western Connecticut St,MSCAC,34,27
2022,Colby College,NESCAC,14,31
2022,Merrimack,NEC,28,21
2022,Elizabeth City State,CIAA,0,49
2022,Southern Connecticut State,Northeast 10,10,56
2022,College Of New Jersey,New Jersey,21,23
2022,Cortland,Empire 8,42,24
2022,North Carolina Wesleyan,USA South,0,24
2022,Knox College,Midwest,34,25
2022,Finlandia University,Upper Midwest,12,28
2022,Lebanon Valley,Mid Atlantic,47,12
2022,Notre Dame College,Mountain East,30,33
2022,West Virginia Wesleyan,Mountain East,21,46
2022,Marist,Pioneer,45,31
2022,Washington & Jefferson,Presidents',17,14
2022,Carnegie Mellon,Presidents',27,20
2022,Saint Vincent,Presidents',21,45
2022,Union (NY),Liberty League,44,7
2022,Salisbury,New Jersey,23,0
2022,Keystone,ECFC,33,42
2022,University of Rochester (NY),Liberty League,10,56
2022,Kenyon,North Coast,28,21
2022,Linfield College,Northwest,35,17
2022,Wittenberg,North Coast,30,7
2022,Maryville College (TN),USA South,56,17
2022,SUNY Morrisville,Empire 8,10,3
2022,North Dakota State,MVFC,31,26
2022,Hamilton,NESCAC,0,45
2022,Heidelberg,Ohio,6,28
2022,Anderson (IN),Heartland,14,54
2022,Defiance College,Heartland,35,55
2022,Otterbein,Ohio,35,41
2022,East Tennessee State,Southern,44,21
2022,Winston-Salem,CIAA,17,20
2022,Carson-Newman College,South Atlantic,6,34
2022,Bluffton,Heartland,21,63
2022,Marietta,Ohio,10,45
2022,Wisconsin-Oshkosh,Wisconsin,24,27
2022,Illinois Wesleyan,CCIW,14,59
2022,Birmingham-Southern,Southern Athletic,20,23
2022,Williams,NESCAC,7,30
2022,Grambling,SWAC,31,37
2022,San Diego,Pioneer,22,10
2022,Methodist,USA South,20,22
2022,St. Augustine's,CIAA,0,54
2022,Ferris State,GLIAC,33,28
2022,Miles College,SIAC,3,20
2022,Northwood (MI),Great Midwest Athletic,14,34
2022,Indianapolis,Great Lakes,38,23
2022,Kentucky Wesleyan,Great Midwest Athletic,9,46
2022,William Jewell,Great Lakes,21,44
2022,Benedictine University,NACC,23,14
2022,Shippensburg,Pennsylvania State Athletic,20,13
2022,Central Missouri,Mid America,27,44
2022,Chadron St,Rocky Mountain,56,3
2022,Colorado Mesa,Rocky Mountain,21,48
2022,Gannon,Pennsylvania State Athletic,35,17
2022,Minnesota State Mankato,Northern Sun,33,41
2022,Shenandoah,Old Dominion,17,23
2022,Washington and Lee,Old Dominion,31,6
2022,Coe College,American Rivers,56,10
2022,Augustana (IL),CCIW,70,0
2022,McMurry,American Southwest,18,30
2022,Texas Lutheran,American Southwest,37,15
2022,Saint John's (MN),Minnesota,45,0
2022,Macalester,Minnesota,7,36
2022,Hamline University,Minnesota,14,49
2022,Elmhurst,CCIW,0,56
2022,Carthage,CCIW,33,14
2022,Sul Ross State,American Southwest,35,70
2022,Hendrix College,Southern Athletic,28,34
2022,Eureka College,NACC,20,23
2022,Denison University,North Coast,7,41
2022,Wisconsin-Whitewater,Wisconsin,45,24
2022,Florida A&M,SWAC,20,14
2022,Wisconsin-Lacrosse,Wisconsin,42,21
2022,Manchester,Heartland,14,48
2022,Akron,Mid-American,34,55
2022,Mary Hardin-Baylor,American Southwest,24,7
2022,Kalamazoo,Michigan,17,41
2022,St. Norbert,NACC,7,0
2022,Pennsylvania,Ivy,59,28
2022,St. Olaf,Minnesota,7,26
2022,Towson,CAA,10,27
2022,Furman,Southern,21,10
2022,Grinnell,Midwest,6,56
2022,Maine,CAA,31,24
2022,Davidson,Pioneer,16,27
2022,Georgia Southern,Sun Belt,33,41
2022,North Central College,CCIW,73,0
2022,Cornell College (IA),Midwest,27,7
2022,Southwest Minnesota State,Northern Sun,14,35
2022,Monmouth (IL),Midwest,23,20
2022,Crown College,Upper Midwest,26,20
2022,St. Scholastica,Minnesota,7,77
2022,South Florida,American Athletic,24,28
2022,South Dakota,MVFC,3,28
2022,Texas Southern,SWAC,24,17
2022,Jackson State,SWAC,26,12
2022,Kentucky State,SIAC,31,26
2022,Black Hills State,Rocky Mountain,28,30
2022,Southern Arkansas,Great American,32,35
2022,Missouri S&T,Great Lakes,14,36
2022,Henderson State,Great American,10,31
2022,Harding University,Great American,56,28
2022,Lincoln (MO),Mid America,14,37
2022,Virginia University Of Lynchburg,,14,28
2022,CSU Pueblo,Rocky Mountain,52,20
2022,Northwestern Oklahoma State,Great American,26,23
2022,Concordia University St Paul,Northern Sun,0,44
2022,Shorter,Gulf South,21,35
2022,Tennessee Tech,OVC,20,34
2022,UT Martin,OVC,45,16
2022,Southern Illinois,MVFC,38,21
2022,Illinois College,Midwest,7,40
2022,Northwestern State,Southland,27,35
2022,Wisconsin-Platteville,Wisconsin,31,3
2022,Allegheny,Presidents',21,35
2022,South Dakota Mines,Rocky Mountain,38,10
2022,Northwest Missouri St,Mid America,22,24
2022,Rockford,NACC,13,37
2022,Texas Tech,Big 12,31,41
2022,Auburn,SEC,10,42
2022,Toledo,Mid-American,52,32
2022,Utah,Pac-12,32,42
2022,Ball State,Mid-American,17,16
2022,Virginia Tech,ACC,29,45
2022,Liberty,FBS Independents,42,24
2022,East Carolina,American Athletic,9,24
2022,Wisconsin,Big Ten,42,7
2022,Delaware,CAA,21,27
2022,Tulsa,American Athletic,21,53
2022,Middle Tennessee,Conference USA,14,41
2022,Stony Brook,CAA,14,24
2022,Winona State,Northern Sun,21,42
2022,Hampden-Sydney,Old Dominion,35,16
2022,Kent State,Mid-American,24,27
2022,North Carolina,ACC,27,24
2022,Charleston Southern,Big South,28,34
2022,Cal Poly,Big Sky,29,31
2022,Western Carolina,Southern,6,49
2022,Bucknell,Patriot,0,57
2022,Ole Miss,SEC,52,28
2022,Idaho State,Big Sky,6,37
2022,Bowie State,CIAA,41,14
2022,Wilson,South Atlantic,21,42
2022,Mars Hill,South Atlantic,33,13
2022,Tiffin,Great Midwest Athletic,41,0
2022,Augustana University (SD),Northern Sun,31,14
2022,Clarion,Pennsylvania State Athletic,40,13
2022,Ohio State,Big Ten,49,20
2022,Duke,ACC,20,23
2022,Washington,Pac-12,38,45
2022,NEWBERG,Northwest,27,10
2022,Randolph-Macon,Old Dominion,55,7
2022,Chapman,So. Cal.,6,28
2022,Pacific (OR),Northwest,42,21
2022,Lewis & Clark College,Northwest,21,47
2022,Lamar,Southland,17,56
2022,Lincoln (CA),,6,48
2022,East Texas A&M,Southland,31,28
2022,Lindenwood,OVC,52,49
2022,Simpson College (IA),American Rivers,14,66
2022,Trine University,Michigan,27,21
2022,Illinois State,MVFC,23,21
2022,Nebraska-Kearney,Mid America,39,18
2022,Southern,SWAC,45,13
2022,North Dakota,MVFC,35,30
2022,West Florida,Gulf South,42,28
2022,Bethune-Cookman,SWAC,17,41
2022,Clark Atlanta,SIAC,42,41
2022,Mercyhurst,Pennsylvania State Athletic,17,31
2022,Western Kentucky,Conference USA,28,31
2022,Catawba,South Atlantic,0,28
2022,Kean,New Jersey,23,22
2022,North Alabama,Atlantic Sun,34,40
2022,Bluefield State,Independent DII,0,0
2022,Albany State GA,SIAC,55,7
2022,Bowdoin,NESCAC,13,31
2022,Alcorn State,SWAC,30,7
2022,James Madison,Sun Belt,42,20
2022,West Alabama,Gulf South,34,31
2022,Arkansas Tech,Great American,34,13
2022,App State,Sun Belt,24,36
2022,Rhodes College,Southern Athletic,0,34
2022,Abilene Christian,Western Athletic,38,41
2022,Nicholls,Southland,19,17
2022,Eastern New Mexico,Lone Star,9,28
2022,Southern Miss,Sun Belt,10,27
2022,Simon Fraser,Lone Star,24,31
2022,UTEP,Conference USA,31,41
2022,Wyoming,Mountain West,27,14
2022,Air Force,Mountain West,27,34
2022,UConn,FBS Independents,33,12
2022,BYU,FBS Independents,20,28
2022,Washington State,Pac-12,14,30
2022,Army,FBS Independents,10,45
2022,Kansas State,Big 12,10,9
2022,Iowa,Big Ten,6,9
2022,Clemson,ACC,31,3
2022,South Carolina,SEC,24,14
2022,Tarleton State,Western Athletic,42,40
2022,Western New Mexico,Lone Star,17,21
2022,Washburn,Mid America,45,14
2022,West Texas A&M,Lone Star,38,26
2022,Florida State,ACC,17,19
2022,Texas A&M,SEC,20,24
2022,Eastern Washington,Big Sky,21,45
2022,Coastal Carolina,Sun Belt,28,21
2022,Tuskegee,SIAC,31,14
2022,Oregon,Pac-12,49,22
2022,Northern Colorado,Big Sky,7,55
2022,Western Oregon,Lone Star,16,14
2022,Fresno State,Mountain West,20,40
2022,La Verne,So. Cal.,7,56
2022,Redlands,So. Cal.,35,14
2022,Hawai'i,Mountain West,14,16
2022,Oregon State,Pac-12,28,27
2022,Franklin Pierce,Northeast 10,14,28
2022,Louisiana,Sun Belt,23,13
2022,West Virginia State,Mountain East,24,45
2022,West Liberty,Mountain East,27,24
2022,Baylor,Big 12,40,43
2022,Temple,American Athletic,13,70
2022,Morgan State,MEAC,20,59
2022,Moravian,Centennial,7,26
2022,Brown,Ivy,19,35
2022,Muhlenberg,Centennial,27,34
2022,McDaniel College,Centennial,17,56
2022,Lincoln (CA),,70,0
2022,Navy,American Athletic,34,40
2022,Wisconsin-Oshkosh,Wisconsin,3,24
2022,UTSA,Conference USA,30,10
2022,Indiana-Pennsylvania,Pennsylvania State Athletic,41,0
2022,Central Michigan,Mid-American,28,21
2022,Miami (OH),Mid-American,13,17
2022,Old Dominion,Sun Belt,49,21
2022,Lake Erie,Great Midwest Athletic,22,15
2022,Virginia Union,CIAA,41,14
2022,Greeneville,South Atlantic,10,9
2022,Wingate,South Atlantic,28,21
2022,Millersville,Pennsylvania State Athletic,17,55
2022,Wayne State (MI),GLIAC,43,47
2022,Gallaudet,ECFC,26,23
2022,Plymouth State,MSCAC,42,7
2022,Keystone,ECFC,41,39
2022,Montclair State,New Jersey,15,18
2022,Susquehanna,Centennial,41,7
2022,Norwich,NEWMAC,20,69
2022,Iowa State,Big 12,21,24
2022,Minnesota,Big Ten,14,26
2022,Dayton,Pioneer,24,7
2022,Christopher Newport,New Jersey,24,13
2022,Western New England,Commonwealth Coast,25,28
2022,Misericordia,Mid Atlantic,0,28
2022,Hobart College,Liberty League,13,16
2022,Colgate,Patriot,17,42
2022,Merchant Marine Academy,NEWMAC,17,0
2022,Buffalo State,Liberty League,6,12
2022,Wooster,North Coast,42,41
2022,Auburn,SEC,34,48
2022,Bucknell,Patriot,9,29
2022,Methodist,USA South,34,33
2022,Belhaven,USA South,59,7
2022,Stevenson,Mid Atlantic,24,10
2022,West Florida,Gulf South,50,26
2022,Kings College (PA),Mid Atlantic,27,21
2022,SUNY Maritime,ECFC,33,36
2022,Penn State,Big Ten,17,41
2022,Kansas,Big 12,42,52
2022,Wisconsin-Lacrosse,Wisconsin,51,21
2022,Miami,ACC,20,14
2022,Trinity University TX,Southern Athletic,45,0
2022,Biddeford,Commonwealth Coast,31,12
2022,Hartwick,Empire 8,7,69
2022,Gannon,Pennsylvania State Athletic,14,40
2022,Thiel,Presidents',6,41
2022,Berry College,Southern Athletic,31,30
2022,Minnesota Morris,Upper Midwest,0,27
2022,Columbia,Ivy,14,34
2022,Concordia University St Paul,Northern Sun,7,53
2022,Lincoln (PA),CIAA,19,21
2022,Post University,Independent DII,20,67
2022,Northern Michigan,GLIAC,7,21
2022,Johnson C Smith,CIAA,25,28
2022,Virginia St,CIAA,40,43
2022,Hillsdale,Great Midwest Athletic,41,7
2022,Grand Valley State University,GLIAC,22,21
2022,Bloomsburg,Pennsylvania State Athletic,17,9
2022,Bemidji State,Northern Sun,46,7
2022,Kutztown University,Pennsylvania State Athletic,29,10
2022,Notre Dame College,Mountain East,41,9
2022,West Georgia,Gulf South,38,35
2022,Bentley,Northeast 10,10,3
2022,Lehigh,Patriot,15,19
2022,Franklin & Marshall,Centennial,38,13
2022,Buffalo,Mid-American,34,7
2022,University Of Charleston (WV),Mountain East,60,68
2022,Frostburg State,Mountain East,27,31
2022,American International,Northeast 10,34,45
2022,Husson,Commonwealth Coast,38,26
2022,Trinity (CT),NESCAC,27,21
2022,Amherst,NESCAC,12,17
2022,Reading,Mid Atlantic,19,16
2022,Stonehill,NEC,27,40
2022,Carnegie Mellon,Presidents',12,7
2022,Central Arkansas,Atlantic Sun,51,24
2022,Edward Waters,SIAC,7,45
2022,Hope College,Michigan,26,28
2022,St. Francis (PA),NEC,57,7
