Season,Team,Conference,Points_for,Points_against
2021,California,Pac-12,17,22
2021,Washington State,Pac-12,23,26
2021,Hawai'i,Mountain West,49,35
2021,Florida A&M,SWAC,6,7
2021,Grambling,SWAC,16,10
2021,Tuskegee,SIAC,0,30
2021,Florida State,ACC,38,41
2021,Ole Miss,SEC,43,24
2021,Glenville State,Mountain East,17,10
2021,Wheeling,Mountain East,15,31
2021,Washburn,Mid America,29,10
2021,Mars Hill,South Atlantic,50,14
2021,University Of Charleston (WV),Mountain East,27,6
2021,Benedict College,SIAC,44,3
2021,Missouri Western,Mid America,38,31
2021,Pace,Northeast 10,33,40
2021,Coastal Carolina,Sun Belt,49,22
2021,Duke,ACC,45,17
2021,Boise State,Mountain West,54,13
2021,Utah State,Mountain West,48,24
2021,Virginia,ACC,42,14
2021,Army,FBS Independents,38,35
2021,Kent State,Mid-American,60,10
2021,Georgia Tech,ACC,45,17
2021,Edinboro University,Pennsylvania State Athletic,9,30
2021,Mercyhurst,Pennsylvania State Athletic,10,56
2021,Michigan State,Big Ten,42,14
2021,East Carolina,American Athletic,17,20
2021,Wake Forest,ACC,41,16
2021,Ohio State,Big Ten,28,35
2021,Gannon,Pennsylvania State Athletic,26,56
2021,Tennessee,SEC,34,41
2021,Minnesota,Big Ten,31,26
2021,Auburn,SEC,62,0
2021,Oklahoma State,Big 12,28,23
2021,Northwestern,Big Ten,24,6
2021,Minnesota State Moorhead,Northern Sun,13,27
2021,South Florida,American Athletic,20,42
2021,Bowie State,CIAA,28,19
2021,Ohio Dominican,Great Midwest Athletic,10,7
2021,Assumption,Northeast 10,28,40
2021,ERSKINE,Independent DII,25,38
2021,PennWest California,Pennsylvania State Athletic,59,0
2021,Kentucky State,SIAC,25,26
2021,Greeneville,South Atlantic,38,46
2021,Alderson-Broaddus,Mountain East,0,24
2021,Franklin Pierce,Northeast 10,20,31
2021,Clarion,Pennsylvania State Athletic,17,21
2021,Concordia University St Paul,Northern Sun,24,6
2021,Tiffin,Great Midwest Athletic,40,6
2021,Northern Michigan,GLIAC,10,28
2021,Wayne State (MI),GLIAC,9,27
2021,Lincoln (PA),CIAA,7,19
2021,Colgate,Patriot,3,24
2021,Dayton,Pioneer,17,10
2021,Tulane,American Athletic,69,20
2021,Michigan Tech,GLIAC,9,12
2021,Elizabeth City State,CIAA,27,35
2021,Northern Illinois,Mid-American,43,50
2021,Tuskegee,SIAC,7,33
2021,Southern Nazarene,Great American,3,41
2021,Richmond,CAA,31,3
2021,Delaware State,MEAC,14,20
2021,Holy Cross,Patriot,21,35
2021,Western New Mexico,Lone Star,14,49
2021,Colorado School Of Mines,Rocky Mountain,31,21
2021,Indiana-Pennsylvania,Pennsylvania State Athletic,29,26
2021,South Dakota,MVFC,34,7
2021,The Citadel,Southern,21,38
2021,Syracuse,ACC,7,17
2021,West Virginia State,Mountain East,21,34
2021,Quincy,Great Lakes,59,27
2021,Ohio,Mid-American,26,28
2021,Morehead State,Pioneer,62,9
2021,Virginia Tech,ACC,35,14
2021,Tennessee Tech,OVC,0,26
2021,Notre Dame,FBS Independents,32,29
2021,UConn,FBS Independents,0,49
2021,University of Mary,Northern Sun,20,43
2021,Wagner,NEC,19,21
2021,Missouri S&T,Great Lakes,71,0
2021,Bemidji State,Northern Sun,38,28
2021,Chadron St,Rocky Mountain,24,28
2021,Missouri Southern State,Mid America,17,21
2021,Central Michigan,Mid-American,45,0
2021,Cincinnati,American Athletic,42,7
2021,Georgia,SEC,56,7
2021,Colorado,Pac-12,7,10
2021,Florida Atlantic,Conference USA,38,6
2021,North Dakota State,MVFC,64,0
2021,Navy,American Athletic,3,23
2021,Akron,Mid-American,24,45
2021,Nebraska,Big Ten,28,3
2021,Massachusetts,FBS Independents,28,45
2021,Penn State,Big Ten,44,13
2021,TCU,Big 12,34,32
2021,Presbyterian,Pioneer,68,3
2021,James Madison,CAA,55,7
2021,San Diego,Pioneer,7,53
2021,Eastern Washington,Big Sky,63,14
2021,Alabama,SEC,48,14
2021,Clark Atlanta,SIAC,26,35
2021,Linfield College,Northwest,56,20
2021,Bowling Green,Mid-American,19,22
2021,Iowa State,Big 12,17,27
2021,Virginia Union,CIAA,7,51
2021,Clemson,ACC,49,3
2021,Western Michigan,Mid-American,28,0
2021,West Virginia,Big 12,66,0
2021,Charlotte,Conference USA,38,10
2021,UTSA,Conference USA,54,0
2021,Washington State,Pac-12,44,24
2021,Slippery Rock,Pennsylvania State Athletic,22,7
2021,Seton Hill,Pennsylvania State Athletic,13,7
2021,West Georgia,Gulf South,47,0
2021,Campbell,Big South,23,24
2021,Stonehill,Northeast 10,54,21
2021,Findlay,Great Midwest Athletic,34,28
2021,Wingate,South Atlantic,40,21
2021,Johnson C Smith,CIAA,19,20
2021,Newberry,South Atlantic,14,24
2021,Savannah St,SIAC,50,6
2021,Stetson,Pioneer,49,16
2021,Fordham,Patriot,23,26
2021,Florida A&M,SWAC,34,7
2021,Butler,Pioneer,49,24
2021,William & Mary,CAA,24,3
2021,Villanova,CAA,55,3
2021,New Hampshire,CAA,26,14
2021,Delaware,CAA,27,10
2021,Rice,Conference USA,7,44
2021,Marshall,Conference USA,44,10
2021,UCF,American Athletic,63,14
2021,Old Dominion,Conference USA,47,7
2021,Catawba,South Atlantic,28,6
2021,East Central (OK),Great American,13,10
2021,Oklahoma Baptist,Great American,45,20
2021,Southeastern Oklahoma State,Great American,32,31
2021,Henderson State,Great American,55,7
2021,Southern Arkansas,Great American,42,27
2021,Delta State,Gulf South,45,17
2021,West Florida,Gulf South,63,14
2021,Ashland,Great Midwest Athletic,19,45
2021,Grand Valley State University,GLIAC,34,14
2021,Albany State GA,SIAC,28,12
2021,Northern State,Northern Sun,30,13
2021,South Dakota Mines,Rocky Mountain,52,7
2021,UT Permian Basin,Lone Star,42,31
2021,Minnesota Duluth,Northern Sun,30,10
2021,Hillsdale,Great Midwest Athletic,31,35
2021,East Texas A&M,Lone Star,30,31
2021,Louisiana Tech,Conference USA,45,42
2021,Southern Miss,Conference USA,37,0
2021,Louisiana,Sun Belt,27,24
2021,Baylor,Big 12,66,7
2021,Kansas State,Big 12,31,23
2021,Oklahoma,Big 12,76,0
2021,Louisville,ACC,30,3
2021,Texas Tech,Big 12,28,22
2021,Sam Houston,AWC,52,14
2021,Miami,ACC,25,23
2021,Wisconsin,Big Ten,34,7
2021,Florida International,Conference USA,17,23
2021,SMU,American Athletic,35,12
2021,Bryant,NEC,17,6
2021,New Mexico,Mountain West,34,25
2021,Abilene Christian,AWC,62,7
2021,Southern,SWAC,41,24
2021,Arkansas,SEC,40,21
2021,South Dakota State,MVFC,52,7
2021,Alcorn State,SWAC,13,10
2021,UT Martin,OVC,33,27
2021,Jackson State,SWAC,38,16
2021,Davidson,Pioneer,28,26
2021,UAlbany,CAA,14,16
2021,North Alabama,Big South,0,20
2021,Houston Christian,Southland,13,45
2021,Tarleton State,AWC,54,7
2021,Arkansas State,Sun Belt,50,55
2021,Troy,Sun Belt,13,21
2021,Mississippi State,SEC,24,10
2021,Kentucky,SEC,35,28
2021,North Carolina,ACC,59,17
2021,East Tennessee State,Southern,45,14
2021,Ole Miss,SEC,54,17
2021,Indiana,Big Ten,56,14
2021,Maryland,Big Ten,62,0
2021,Pittsburg St,Mid America,17,28
2021,Texas A&M-Kingsville,Lone Star,24,10
2021,LSU,SEC,34,7
2021,Eastern New Mexico,Lone Star,42,14
2021,Emporia State University,Mid America,31,21
2021,Florida State,ACC,17,20
2021,Michigan,Big Ten,31,10
2021,Incarnate Word,Southland,40,9
2021,Montana,Big Sky,42,7
2021,Montana State,Big Sky,45,7
2021,Missouri State,MVFC,43,34
2021,Sacramento State,Big Sky,16,34
2021,Fresno State,Mountain West,63,10
2021,Utah Tech,AWC,3,41
2021,Arizona,Pac-12,14,38
2021,Colorado State,Mountain West,21,24
2021,BYU,FBS Independents,26,17
2021,USC,Pac-12,28,42
2021,Arizona State,Pac-12,37,10
2021,Nevada,Mountain West,49,10
2021,Oregon State,Pac-12,45,27
2021,Frostburg State,Mountain East,30,24
2021,Bethune-Cookman,SWAC,27,30
2021,Louisiana,Sun Belt,49,14
2021,Southern Connecticut State,Northeast 10,34,31
2021,Louisville,ACC,42,35
2021,Illinois,Big Ten,17,20
2021,St. Francis (PA),NEC,39,24
2021,Howard,MEAC,32,48
2021,Tennessee,SEC,56,0
2021,Syracuse,ACC,62,24
2021,Miami,ACC,17,38
2021,Maine,CAA,31,26
2021,Temple,American Athletic,3,28
2021,Yale,Ivy,17,20
2021,Central Connecticut,NEC,10,56
2021,West Virginia,Big 12,27,21
2021,Missouri,SEC,59,28
2021,Army,FBS Independents,52,21
2021,Oklahoma,Big 12,23,16
2021,Michigan,Big Ten,63,10
2021,Buffalo,Mid-American,25,28
2021,Pittsburgh,ACC,41,44
2021,Clark Atlanta,SIAC,17,38
2021,West Chester,Pennsylvania State Athletic,41,37
2021,Indiana,Big Ten,24,38
2021,Texas A&M,SEC,34,0
2021,Kentucky,SEC,28,23
2021,Lehigh,Patriot,0,32
2021,Kutztown University,Pennsylvania State Athletic,14,3
2021,Brown,Ivy,24,45
2021,Georgetown,Patriot,9,44
2021,Lafayette,Patriot,13,19
2021,Chowan,CIAA,49,19
2021,Carson-Newman College,South Atlantic,3,25
2021,Assumption,Northeast 10,32,21
2021,Fairmont State,Mountain East,23,30
2021,Wheeling,Mountain East,28,6
2021,William Jewell,Great Lakes,25,35
2021,Catawba,South Atlantic,17,10
2021,Colgate,Patriot,7,27
2021,Columbia,Ivy,37,14
2021,Sacred Heart,NEC,21,7
2021,Colorado,Pac-12,0,30
2021,Mars Hill,South Atlantic,44,9
2021,Shaw,CIAA,52,0
2021,PennWest California,Pennsylvania State Athletic,30,0
2021,Clarion,Pennsylvania State Athletic,33,62
2021,Northern Michigan,GLIAC,20,14
2021,Truman State,Great Lakes,38,24
2021,New Haven,Northeast 10,13,27
2021,East Stroudsburg University,Pennsylvania State Athletic,17,7
2021,Concord University,Mountain East,28,25
