Season,Player_ID,Player_Name,Position,Team,Conference,Usage_Overall,Team_Total_Usage,Player_Usage_Share,Rank_Within_Team,Top_Player_Flag,Top_3_Flag,Top_Player_Share,Top_3_Share,Distinct_Season_Count,Usage_Bin
2021,4062711,Ethan Fernea,RB,UCLA,Pac-12,0.04,1.676,0.023866348,10,0,0,0.313245823,0.581742243,1,0–5%
2021,4079623,Blake Kern,TE,Arkansas,SEC,0.025,1.578,0.015842839,15,0,0,0.309252218,0.48035488,1,0–5%
2021,4239938,CJ Lewis,WR,Boston College,ACC,0.036,2.001,0.017991004,13,0,0,0.212893553,0.536231884,1,0–5%
2021,4239939,Dennis Grosel,QB,Boston College,ACC,0.426,2.001,0.212893553,1,1,1,0.212893553,0.536231884,1,40–50%
2021,4239941,Travis Levy,RB,Boston College,ACC,0.097,2.001,0.048475762,6,0,0,0.212893553,0.536231884,1,5–10%
2021,4239964,Isaiah Sanders,QB,Stanford,Pac-12,0.072,2.205,0.032653061,12,0,0,0.284353741,0.47845805,1,5–10%
2021,4239998,Hunter Johnson,QB,Northwestern,Big Ten,0.423,2.254,0.187666371,1,1,1,0.187666371,0.501774623,2,40–50%
2021,4239999,Will Swinney,WR,Clemson,ACC,0.024,2.213,0.010845007,22,0,0,0.236330773,0.427925892,1,0–5%
2021,4240003,Luke Price,TE,Clemson,ACC,0.01,2.213,0.004518753,28,0,0,0.236330773,0.427925892,2,0–5%
2021,4240009,Will Brown,WR,Clemson,ACC,0.015,2.213,0.006778129,25,0,0,0.236330773,0.427925892,1,0–5%
2021,4240033,Ontaria Wilson,WR,Florida State,ACC,0.048,1.869,0.025682183,10,0,0,0.26859283,0.593365436,2,0–5%
2021,4240034,D.J. Matthews,WR,Indiana,Big Ten,0.069,2.542,0.027143981,9,0,0,0.194335169,0.44256491,2,5–10%
2021,4240069,Malik Cunningham,QB,Louisville,ACC,0.584,1.778,0.328458943,1,1,1,0.328458943,0.51799775,2,50%+
2021,4240075,Justin Marshall,WR,Louisville,ACC,0.042,1.778,0.023622047,12,0,0,0.328458943,0.51799775,1,0–5%
2021,4240091,Josh Johnson,WR,Louisville,ACC,0.033,1.778,0.01856018,14,0,0,0.328458943,0.51799775,1,0–5%
2021,4240120,Emeka Emezie,WR,NC State,ACC,0.111,1.72,0.064534884,4,0,0,0.34244186,0.577906977,1,10–15%
2021,4240121,Thayer Thomas,WR,NC State,ACC,0.078,1.72,0.045348837,5,0,0,0.34244186,0.577906977,2,5–10%
2021,4240391,Tommy DeVito,QB,Syracuse,ACC,0.383,1.837,0.208492107,2,0,1,0.283070223,0.678279804,2,30–40%
2021,4240411,Sharod Johnson,WR,Syracuse,ACC,0.036,1.837,0.019597169,11,0,0,0.283070223,0.678279804,1,0–5%
2021,4240418,Christian Beal-Smith,RB,Wake Forest,ACC,0.152,1.73,0.087861272,2,0,1,0.334104046,0.497109827,2,15–20%
2021,4240429,Jaquarii Roberson,WR,Wake Forest,ACC,0.109,1.73,0.06300578,6,0,0,0.334104046,0.497109827,1,10–15%
2021,4240473,Jake Marwede,TE,Duke,ACC,0.035,1.765,0.019830028,12,0,0,0.266288952,0.575637394,1,0–5%
2021,4240506,Adonicas Sanders,WR,Georgia Tech,ACC,0.06,2.035,0.029484029,11,0,0,0.255036855,0.596068796,1,5–10%
2021,4240543,Mike Epstein,RB,Illinois,Big Ten,0.182,2.154,0.084493965,4,0,0,0.214948932,0.525998143,1,15–20%
2021,4240546,Michael Marchese,TE,Illinois,Big Ten,0.017,2.154,0.007892293,17,0,0,0.214948932,0.525998143,2,0–5%
2021,4240580,Max Cooper,WR,Iowa,Big Ten,0.013,1.734,0.007497116,15,0,0,0.245098039,0.587658593,1,0–5%
2021,4240581,Ivory Kelly-Martin,RB,Iowa,Big Ten,0.096,1.734,0.055363322,6,0,0,0.245098039,0.587658593,1,5–10%
2021,4240603,Malik Davis,RB,Florida,SEC,0.144,1.753,0.082144894,3,0,1,0.301768397,0.51340559,1,10–15%
2021,4240618,Kemore Gamble,TE,Florida,SEC,0.058,1.753,0.033086138,9,0,0,0.301768397,0.51340559,1,5–10%
2021,4240625,Mike Harley,WR,Miami,ACC,0.087,2.788,0.031205165,8,0,0,0.263629842,0.551291248,1,5–10%
2021,4240703,Kenny Pickett,QB,Pittsburgh,ACC,0.582,1.807,0.322080797,1,1,1,0.322080797,0.516325401,1,50%+
2021,4240709,Jake Zilinskas,TE,Pittsburgh,ACC,0.011,1.807,0.006087438,20,0,0,0.322080797,0.516325401,1,0–5%
2021,4240711,Todd Sibley Jr.,RB,Pittsburgh,ACC,0.037,1.807,0.020475927,12,0,0,0.322080797,0.516325401,1,0–5%
2021,4240735,Chris Autman-Bell,WR,Minnesota,Big Ten,0.054,2.047,0.026380068,8,0,0,0.187591597,0.542745481,3,5–10%
2021,4240750,Mohamed Ibrahim,RB,Minnesota,Big Ten,0.384,2.047,0.187591597,1,1,1,0.187591597,0.542745481,2,30–40%
2021,4240756,Tanner Morgan,QB,Minnesota,Big Ten,0.356,2.047,0.173913043,3,0,1,0.187591597,0.542745481,2,30–40%
2021,4240787,Austin Allen,TE,Nebraska,Big Ten,0.061,1.983,0.030761473,10,0,0,0.278870398,0.455874937,1,5–10%
2021,4240801,Tyjon Lindsey,WR,Oregon State,Pac-12,0.053,1.676,0.031622912,7,0,0,0.259546539,0.534009547,2,5–10%
2021,4240819,Kade Warner,WR,Kansas State,Big 12,0.034,2.012,0.016898608,11,0,0,0.236580517,0.576043738,2,0–5%
2021,4240858,Hendon Hooker,QB,Tennessee,SEC,0.492,2.079,0.236652237,1,1,1,0.236652237,0.413660414,2,40–50%
2021,4240901,Connor Blumrick,TE,Virginia Tech,ACC,0.218,1.922,0.113423517,2,0,1,0.248699272,0.463059313,2,20–25%
2021,4240906,Camron Buckley,WR,Indiana,Big Ten,0.026,2.542,0.010228167,19,0,0,0.194335169,0.44256491,1,0–5%
